beta_hub,beta_tip,sigma,eta,P0,T0,PR,TR,eta_isen
19.5865856685001,59.905873061697804,0.9423148601496418,0.9386066860353958,102566.81361519966,299.76620373532114,1.5804349140068363,1.1470444661465762,0.950102196072042
16.618691705731244,55.11364469927198,0.8890691148344952,0.9026459476650837,102363.39134574376,287.42776692271605,1.624302646858738,1.162114153376513,0.916992813125824
15.81918275002652,60.946146584671745,0.9693603155772349,0.900448557550185,103562.99865730338,291.4306598129506,1.5831411587466813,1.1540773664295454,0.910351233022533
14.75877214532257,61.07566387430755,0.9589129127130763,0.9011845330277779,99762.74177951897,286.5881754753679,1.5942761359332842,1.1564848403564536,0.9109522733181581
14.04282806324181,56.073445886253204,0.8922519779477336,0.9010193391239352,102413.1371239919,275.40445164493957,1.6592244443826993,1.170168677860784,0.914738770599545
10.022672180749648,55.78614004680102,0.9318783274076509,0.9001985587027417,100817.70603466006,287.07986040831486,1.6598097521314863,1.1704655677011233,0.9138288269373485
19.007313180786674,64.70432883946711,0.912342716837425,0.890929754300059,103938.48587237089,291.30008634871285,1.4760250381442028,1.1311916882865867,0.8969102200158494
19.789369360129207,57.37304640989322,0.8830759860543123,0.9074024173869678,101808.24078444552,264.8311711767495,1.6546666246317714,1.1679755352235321,0.9212769092618905
12.240935776033602,55.44887726153726,0.9471053571459151,0.885917018221417,101003.88790801345,288.2549241504685,1.646150465223394,1.1701023236796146,0.8997571847732575
13.352475061062444,62.118123475981115,0.8963684199545051,0.8984130753556623,101732.92805806562,275.8506509150898,1.580923208056236,1.1541863783523019,0.9067459008959446
17.91555162610006,61.44003692045104,0.9358525781953447,0.8978678192492264,100655.29159338561,293.5976776764712,1.5443902317816647,1.145784609434595,0.9069501995080816
13.06995642303836,59.015991925266604,0.9573211619606645,0.8980897170107437,103912.78351546412,283.5678484998209,1.6337643133948678,1.165513850837996,0.9096837763627544
11.962835928514009,60.042256790482305,0.9557499069505776,0.9170808885010986,97715.1124456654,267.8050869405711,1.6917391602196283,1.1745492936266404,0.9285949208293873
14.528013358037473,64.39835206396515,0.9649644437853374,0.9025829510602073,100145.37034677182,297.3379788672852,1.5202830816479203,1.1398209140142748,0.9093163402226845
19.009877514193,56.53634905541973,0.9698274367791595,0.8857507142665351,97021.84622666321,309.5265178816873,1.5674686595743659,1.1524237731769287,0.8989926784531005
15.520030072217926,59.32465002551439,0.8837835749411901,0.8882483818667047,97887.53597741632,293.5836690514383,1.5499340312295897,1.1484713904397053,0.8983489044772627
10.440290498037376,62.34870698993737,0.9533531289523053,0.9088813608679465,100783.82571315936,264.9207769850665,1.6616784335389354,1.1700800415889248,0.9180852502254832
13.999036324147916,55.21127443041194,0.9569448199021765,0.9275857747039035,103808.78484248451,300.84419192745116,1.651796880868829,1.163567996960001,0.9426013820019096
10.282065167054174,58.30779027151083,0.8890205385270273,0.905735242218593,101641.29788891245,291.80629199310425,1.6024655035921942,1.1573122214494713,0.9168010084877167
16.392591800503986,57.91095925116068,0.9075615593173011,0.9344430037102665,103179.24648481492,305.9649684341883,1.5831780676442788,1.1481539282351951,0.9467998418187952
11.272188727759916,61.021925074142494,0.92105878914667,0.8844713774891855,101543.56103177993,308.45164282113547,1.5244461514509142,1.1433770588542123,0.8929074264931959
13.76300806483715,63.24023824263973,0.9417708344979421,0.8762257958359222,94879.92447658816,292.8158719586404,1.5221772985074458,1.144386189106017,0.8833428924470365
14.10630190631472,64.75652856989802,0.9165194173481164,0.9033940134986366,101805.0449742734,286.37291319365266,1.5208804344589435,1.1398961508986813,0.9097316833985959
13.636668932977582,63.62652752408859,0.925851850357187,0.9059492197143004,101811.88982293493,278.5713057551193,1.568652022532887,1.1502940344706227,0.9133632477034739
13.628334424979528,60.704449063722286,0.9212600930491722,0.8962636205847305,108127.14908619218,289.98251093862723,1.5731583272374396,1.1525922869267369,0.9057177344739596
19.342212819275787,60.340540011318254,0.893457534128205,0.9091320406662269,101950.5293593895,303.0130871115331,1.5214379160939222,1.138626139548455,0.9189176269416096
18.497228895235693,62.26633763856237,0.8899126398888344,0.8709637851578171,102727.43538177539,297.06275731288633,1.4811952649391567,1.1352358876480675,0.8783491882421137
17.614968926183494,57.356511088338046,0.9228923979339939,0.9129974557974052,107415.19672953448,296.9071485186534,1.597027951262786,1.1545550016528772,0.9259702526900767
16.4825903458186,62.353732453495674,0.9256023972013796,0.8825526518422852,105961.15674457676,294.35813619636565,1.5186292243919384,1.142406121591981,0.890347752435302
13.180108131289415,57.82421918584123,0.9355320946557215,0.9069647984359005,101053.58027433319,310.06028676491303,1.5752305264286086,1.1509078544357307,0.9186645873070096
19.81072668618813,59.998864567969314,0.9331322750128273,0.900262355454641,99922.8470466001,289.02191827817103,1.5686673028272533,1.1506739885492534,0.9110810296457698
11.556302379909773,62.58803162508976,0.8898238237175213,0.908057642293841,99797.25090709033,289.2513193438543,1.5515707833369554,1.1460231257468607,0.9157518207402281
10.933490628695012,57.28082356221691,0.9679014990229431,0.8992685144090551,99673.87283346477,280.2310308136598,1.6788032224841056,1.174834365867783,0.9125196142264687
13.654024579374502,59.88635407165107,0.9081073928439101,0.9413108774851201,96039.80359861522,301.1009496297038,1.5875139617151994,1.1482918514459841,0.9519302566574496
10.183736200956446,63.75536325429356,0.9687602385193582,0.9155633448993739,104754.58601628742,293.31180754395297,1.5711951639638855,1.1492616991521105,0.9232076092955334
19.557001681468577,60.99830751416105,0.9680238736193111,0.8825827269632935,99132.81959775552,293.2988411395513,1.5460996427420104,1.14858789776488,0.8922482786114382
18.537771007994767,63.84336970982393,0.9286947788665733,0.9029287794314738,100623.43720488943,293.16757277899757,1.5051832898132973,1.1362141353580626,0.9098281403970978
17.85552581924173,64.36815557217965,0.9627616284981606,0.9119963961593188,101713.02070971654,293.8480565748733,1.5191977819119546,1.1381194689788277,0.9188529748806865
10.083682435495875,57.538189302703536,0.9223419946026625,0.8933076582415779,100428.3062363666,300.938101504916,1.5925050596111054,1.1571427482647296,0.9048297439987295
11.428533541649376,55.7389483833491,0.9501635463803595,0.9046945446560971,100460.11673415388,283.81346662696103,1.6795576091456055,1.1737664528495448,0.9189842640960474
19.11260968692222,64.94356129154167,0.9790290278608214,0.8944775442587897,97524.772983838,277.21220241578936,1.5341399186247437,1.1443454282160608,0.9010830556298558
17.396200769282853,57.950577735311306,0.9120318863819689,0.8772173231398999,101638.59082295116,304.6103215416524,1.5371752636630807,1.1471248976681914,0.8883988496402624
19.42960567762576,58.64028747523188,0.9431658911099629,0.8819024523206523,101399.99674024373,263.51810532616025,1.651004396884597,1.1721669742109526,0.8946035189354158
15.289423120650484,62.276012196945786,0.9244765996783232,0.8638851353070681,110829.02059742819,296.97952434792967,1.503828552905106,1.141897771767964,0.8713479618409312
14.177302774108611,63.32082999953483,0.9422438123144847,0.9237503882665263,105482.55067560288,279.94756289912095,1.5908511051464886,1.152228573891426,0.931811759551958
